isin,exclude
AU0000333486,1
AU0000338311,1
AU0000340143,1
AU0000341232,1
AU0000348658,1
AU0000355000,1
AU0000355588,1
AU0000357261,1
AU0000361909,1
AU0000362105,1
AU0000364754,1
AU0000365348,1
AU0000365637,1
AU0000367443,1
AU0000368748,1
AU0000369662,1
AU0000369753,1
AU0000373201,1
AU0000373722,1
AU0000380420,1
AU0000381535,1
AU0000381691,1
AU0000382079,1
AU0000390387,1
AU0000390544,1
AU0000396905,1
BE0003696102,1
BE0003836534,1
BE0974278104,1
BE0974280126,1
BE0974294267,1
BE0974371032,1
BE0974380124,1
BE0974413453,1
BE0974487192,1
BE6360403164,1
BG11MPKAAT18,1
BMG053845019,1
BMG0620W3009,1
BMG095871098,1
BMG126341046,1
BMG1368B1028,1
BMG1738J1247,1
BMG2020F1683,1
BMG210A71016,1
BMG2111B1752,1
BMG2112G1087,1
BMG2122W1010,1
BMG2150P2343,1
BMG2154Z1216,1
BMG2164J1099,1
BMG2381M1091,1
BMG243851091,1
BMG3000U1009,1
BMG3122U1457,1
BMG313751015,1
BMG3163K1053,1
BMG3978C1249,1
BMG4643L1019,1
BMG5137R1088,1
BMG5370A1018,1
BMG5479L1072,1
BMG6260K1595,1
BMG6904D1083,1
BMG6982M2028,1
BMG709641044,1
BMG749131071,1
BMG7947V2045,1
BMG8114P1032,1
BMG8291R1043,1
BMG8571C2494,1
BMG8800F1876,1
BMG9429S2464,1
BMG9829U1062,1
CA0002251027,1
CA00135V1094,1
CA0014313039,1
CA00143Y1034,1
CA00149L1058,1
CA00218V1094,1
CA0025555065,1
CA0028221046,1
CA00288E3005,1
CA00289A1093,1
CA0029471095,1
CA0030691012,1
CA00367M1086,1
CA00379L3048,1
CA00547Y2042,1
CA00654B1040,1
CA0069281057,1
CA0074082060,1
CA00784W1014,1
CA00791L1067,1
CA00791P1071,1
CA00792D1033,1
CA00792K1075,1
CA00810C1032,1
CA00810E1097,1
CA00827Y1060,1
CA00830Q3061,1
CA00925E1016,1
CA00956C1077,1
CA01450V1040,1
CA01559R4008,1
CA01643B1067,1
CA01863P2070,1
CA01883E1097,1
CA0191151046,1
CA0202833053,1
CA02053E1016,1
CA02080K1049,1
CA0211551068,1
CA0212641066,1
CA02136K1084,1
CA02137W2004,1
CA02139L1031,1
CA02156R1082,1
CA02157V1085,1
CA02315E1051,1
CA02377G2045,1
CA0249441001,1
CA02527W2085,1
CA02590A1093,1
CA0293641068,1
CA0303381077,1
CA0307361026,1
CA03116G1090,1
CA03169D1024,1
CA03349X1015,1
CA03464C1068,1
CA03634K2020,1
CA03634T1049,1
CA0369271014,1
CA03783P1018,1
CA03785Y1007,1
CA03820A1093,1
CA03822G1046,1
CA03853W2004,1
CA03967C1086,1
CA03967T3091,1
CA03990E1051,1
CA0399441033,1
CA04014D2068,1
CA04016E2024,1
CA04016J1021,1
CA04041C1068,1
CA0422791099,1
CA04274P1053,1
CA04336A1049,1
CA04341X1078,1
CA0449281090,1
CA04624P1027,1
CA04633F1036,1
CA0467971069,1
CA0475591099,1
CA04943J1003,1
CA04965P2089,1
CA05207J1084,1
CA05335P1099,1
CA05335Q1072,1
CA05337L3048,1
CA05351M2040,1
CA05352C1068,1
CA0545211090,1
CA05453A2074,1
CA05455X2059,1
CA05476A1012,1
CA05478A2083,1
CA05478T2074,1
CA06683R1010,1
CA06766T1075,1
CA06833H1029,1
CA0704902067,1
CA0705051021,1
CA0712052079,1
CA0727441051,1
CA07278W1095,1
CA07309M1041,1
CA07568L1022,1
CA0762301012,1
CA07785T2011,1
CA0804995029,1
CA0805581091,1
CA0813791096,1
CA08184N1006,1
CA0832971018,1
CA08772P2026,1
CA08772W2076,1
CA0886412042,1
CA08916W1059,1
CA08969W1014,1
CA0898041086,1
CA0907021012,1
CA09073K1084,1
CA09075T2065,1
CA09076M1014,1
CA0908232048,1
CA09214V1040,1
CA09215W1014,1
CA09237D1078,1
CA09263X1006,1
CA09345L1085,1
CA09352R1055,1
CA09353K3073,1
CA09369M1077,1
CA09370U1066,1
CA09564P1036,1
CA09570Q5095,1
CA0959221007,1
CA0960495079,1
CA09607B2021,1
CA09609Y1016,1
CA0967752001,1
CA09689F1053,1
CA0976923056,1
CA09858C1077,1
CA10002E1060,1
CA1053241073,1
CA10567D2041,1
CA10778T1057,1
CA11042D1087,1
CA11120Q3026,1
CA1208311029,1
CA12507V1040,1
CA12510R1082,1
CA1254055066,1
CA12570Q1072,1
CA1260371002,1
CA1348281025,1
CA1351641016,1
CA13561D1050,1
CA13585M1077,1
CA1363431000,1
CA1368421014,1
CA1372241010,1
CA13740E1079,1
CA13740R2072,1
CA13758Y2015,1
CA13765Y1034,1
CA1380503070,1
CA13810W1023,1
CA1381342007,1
CA1389093040,1
CA1394811055,1
CA13960M2013,1
CA14075H3018,1
CA14109M1023,1
CA14116K4046,1
CA14161Y2006,1
CA14306B1076,1
CA14307R2000,1
CA14446B1085,1
CA1467721082,1
CA14712X1078,1
CA1471901027,1
CA14738X1078,1
CA14875E1025,1
CA14919F2061,1
CA15138B3065,1
CA15234A4000,1
CA15643T6025,1
CA1568281051,1
CA15748D2059,1
CA15850F1053,1
CA15956X1096,1
CA1621631094,1
CA17104U1021,1
CA17178G3026,1
CA1787181025,1
CA17878Y2078,1
CA17888V1022,1
CA17989L1022,1
CA18066R1038,1
CA18274C1041,1
CA18452Y1007,1
CA18453A1012,1
CA18453C4048,1
CA18453D3031,1
CA1849161049,1
CA1939291060,1
CA1941683080,1
CA19425C1005,1
CA19682H1073,1
CA2006977045,1
CA2059531020,1
CA2094161064,1
CA21750Y1034,1
CA2175231091,1
CA2176371078,1
CA2176611077,1
CA21871U1057,1
CA21948L1040,1
CA22170M1095,1
CA22535J1066,1
CA22630V1031,1
CA2267401081,1
CA22675G2018,1
CA22758R1082,1
CA22788F1080,1
CA22888A2074,1
CA22968P5040,1
CA23003L1022,1
CA2302663067,1
CA23256X4075,1
CA23267C3012,1
CA23305P1080,1
CA23345B2003,1
CA23346F1018,1
CA2372342089,1
CA2379441033,1
CA23809L2075,1
CA24380K4028,1
CA24463V1013,1
CA24713H1001,1
CA24780P1009,1
CA25039N4084,1
CA25161B1076,1
CA2519341051,1
CA2519361000,1
CA25241H1082,1
CA2525312070,1
CA25383T1003,1
CA25470W3057,1
CA25472R1064,1
CA2548481043,1
CA25484L2049,1
CA25552L2012,1
CA2569191018,1
CA26806J1093,1
CA2681322061,1
CA2683331011,1
CA2684692023,1
CA2684931033,1
CA26886Q1063,1
CA26926A1030,1
CA26928V1058,1
CA2699062022,1
CA27033V1058,1
CA2704101039,1
CA27580T1075,1
CA2768555096,1
CA27785T2092,1
CA27887T1075,1
CA2798741013,1
CA28008L2057,1
CA2803591007,1
CA28103Q2080,1
CA2823655014,1
CA28616D1087,1
CA28619A2002,1
CA28619K1093,1
CA2902571041,1
CA29102L4064,1
CA29103R1055,1
CA2913411054,1
CA29158A1066,1
CA29267M1086,1
CA29280V1013,1
CA29286E2024,1
CA29383X2023,1
CA29385B1094,1
CA29408C1005,1
CA29408D1087,1
CA29472E1079,1
CA29643L2049,1
CA29787F1045,1
CA2985962067,1
CA29872L2066,1
CA29877A2056,1
CA3001442019,1
